0000100,exp,0,55,-1,-1,100,end
0000100,item,1332007,1,-1,-1,50,end
0000100,item,1332005,1,-1,-1,50,end
1000100,exp,0,300,-1,-1,100,end
1000100,item,1092000,1,-1,-1,90,end
1000100,item,1092001,1,-1,-1,10,end
1001800,exp,0,800,-1,-1,100,1end
1001800,item,2010004,50,-1,-1,100,1end
1001800,exp,0,900,-1,-1,100,2end
1001800,item,2020002,100,-1,-1,100,2end
1001800,exp,0,1000,-1,-1,100,3end
1001800,item,1082002,1,0,-1,100,3end
1001800,item,1082004,1,100,-1,100,3end
1001800,item,1082020,1,200,-1,100,3end
1001800,item,1082013,1,300,-1,100,3end
1001800,item,1082032,1,400,-1,100,3end
1000200,item,4031005,1,-1,-1,100,m5
1000200,item,4031004,1,-1,-1,100,m6
1000200,item,4031006,1,-1,-1,100,m7
1000200,exp,0,2000,-1,-1,100,end
1000200,meso,0,5000,-1,-1,100,end
1000200,item,1002026,1,-1,-1,100,end
1000800,exp,0,1500,-1,-1,100,end
1000800,item,4021000,1,-1,-1,15,end
1000800,item,4021001,1,-1,-1,15,end
1000800,item,4021002,1,-1,-1,15,end
1000800,item,4021003,1,-1,-1,15,end
1000800,item,4021004,1,-1,-1,15,end
1000800,item,4021005,1,-1,-1,15,end
1000800,item,4021006,1,-1,-1,15,end
1000800,item,4021007,1,-1,-1,15,end
1000900,exp,0,700,-1,-1,100,end
1000900,item,4003000,30,-1,-1,100,end
1000300,exp,0,1000,-1,-1,100,end
1000300,item,2040000,1,-1,-1,33,end
1000300,item,2040001,1,-1,-1,33,end
1000300,item,2040002,1,-1,-1,34,end
1001200,exp,0,450,-1,-1,100,end
1001200,pop,0,1,-1,-1,100,end
1001200,item,2030000,30,-1,-1,15,end
1001200,item,2030001,30,-1,-1,15,end
1001200,item,2030002,30,-1,-1,15,end
1001200,item,2030003,30,-1,-1,15,end
1001200,item,2030004,30,-1,-1,15,end
1001200,item,2030005,30,-1,-1,15,end
1001200,item,2030006,30,-1,-1,15,end
1000500,exp,0,1600,-1,-1,100,t
1000500,item,4031007,1,-1,-1,100,t
1000500,exp,0,2000,-1,-1,100,end
1000500,item,1032004,1,-1,-1,25,end
1000500,item,1032005,1,-1,-1,25,end
1000500,item,1032006,1,-1,-1,25,end
1000500,item,1032007,1,-1,-1,25,end
1000400,exp,0,2500,-1,-1,100,end
1000400,item,2044501,1,-1,-1,7,end
1000400,item,2044601,1,-1,-1,7,end
1000400,item,2043001,1,-1,-1,7,end
1000400,item,2043101,1,-1,-1,7,end
1000400,item,2043201,1,-1,-1,7,end
1000400,item,2043301,1,-1,-1,7,end
1000400,item,2044001,1,-1,-1,7,end
1000400,item,2044101,1,-1,-1,7,end
1000400,item,2044201,1,-1,-1,7,end
1000400,item,2044301,1,-1,-1,7,end
1000400,item,2044401,1,-1,-1,7,end
1000400,item,2043701,1,-1,-1,7,end
1000400,item,2043801,1,-1,-1,7,end
1000400,item,2044701,1,-1,-1,7,end
1001000,exp,0,4000,-1,-1,100,end
1001000,item,4003002,1,-1,-1,50,end
1001000,item,4003003,1,-1,-1,50,end
1000700,exp,0,2000,-1,-1,100,1_00
1000700,pop,0,1,-1,-1,100,1_00
1000700,item,2040504,1,-1,-1,50,1_00
