1001800,lvmin,15
1000200,lvmin,15
1000200,nojob,0
1000800,lvmin,15
1000800,nojob,0
1000900,lvmin,15
1000300,lvmin,20
1000300,nojob,0
1001200,lvmin,20
1000500,lvmin,20
1000500,nojob,0
1000400,lvmin,25
1000400,nojob,0
1001000,lvmin,25
1001000,nojob,0
1000700,lvmin,25
1001801,lvmin,25
1000600,lvmin,30
1000600,nojob,0
1000101,lvmin,30
1000101,pop,10
1000101,nojob,0
1000901,lvmin,30
1001201,lvmin,30
1000601,lvmin,35
1000601,nojob,0
1000401,lvmin,40
1000401,nojob,0
1001202,lvmin,40
1001400,lvmin,40
1000201,lvmin,45
1000201,nojob,0
1000701,lvmin,50
1000801,lvmin,50
1000801,job,100
1000301,lvmin,55
1000301,job,400
1000602,lvmin,55
1000602,job,200
1000202,lvmin,55
1000202,job,300
1001500,lvmin,55
1001501,lvmin,55
1001502,lvmin,55
1001503,lvmin,55
1001504,lvmin,55
1000902,lvmin,61
1001600,lvmin,60
1001900,lvmin,65
7000000,lvmin,50
7000001,lvmin,50
7000002,lvmin,50

