0000100,f,end
1001100,s,end
1000100,w,end
1001800,1s,1end
1001800,1end,2s
1001800,2s,2end
1001800,2end,3s
1001800,3s,3end
1000200,m1,m2
1000200,m2,m3
1000200,m3,m4
1000200,m4,m5
1000200,m5,m6
1000200,m6,m7
1000200,m7,end
1000800,s,end
1000900,10,9
1000900,9,end
1000900,10,8
1000900,8,end
1000900,10,7
1000900,7,end
1000900,10,6
1000900,6,end
1000900,10,5
1000900,5,end
1000900,10,4
1000900,4,end
1000900,10,3
1000900,3,end
1000900,10,2
1000900,2,end
1000900,10,1
1000900,1,end
1000900,10,end
1000300,p,end
1002800,s,e
1001200,s,g
1001200,g,end
1000500,a,t
1000500,t,end
1000400,j,end
1001000,s,end
1000700,1_01,1_11
1000700,1_11,1_00
1000700,1_11,1_99
1000700,1_01,1_91
1000700,1_91,1_00
1000700,1_91,1_99
1000700,1_02,1_12
1000700,1_12,1_00
1000700,1_12,1_99
1000700,1_02,1_92
1000700,1_92,1_00
1000700,1_92,1_99
1000700,1_03,1_13
1000700,1_13,1_00
1000700,1_13,1_99
1000700,1_03,1_93
1000700,1_93,1_00
1000700,1_93,1_99
1000700,1_04,1_14
1000700,1_14,1_00
1000700,1_14,1_99
1000700,1_04,1_94
1000700,1_94,1_00
1000700,1_94,1_99
1001801,1s,1end
1001801,1end,2s
1001801,2s,2end
1001801,2end,3s
1001801,3s,3end
1000600,1,2
1000600,2,3
1000600,3,4
1000600,4,e
1000101,p0,pe
1000901,20,19
1000901,19,end
1000901,20,18
1000901,18,end
1000901,20,17
1000901,17,end
1000901,20,16
1000901,16,end
1000901,20,15
1000901,15,end
1000901,20,14
1000901,14,end
1000901,20,13
1000901,13,end
1000901,20,12
1000901,12,end
1000901,20,11
1000901,11,end
1000901,20,10
1000901,10,end
1000901,20,9
1000901,9,end
1000901,20,8
1000901,8,end
1000901,20,7
1000901,7,end
1000901,20,6
1000901,6,end
1000901,20,5
1000901,5,end
1000901,20,4
1000901,4,end
1000901,20,3
1000901,3,end
1000901,20,2
1000901,2,end
1000901,20,1
1000901,1,end
1000901,20,end
1001201,s,g
1001201,g,end
1000601,r0,r1
1000601,r1,r2
1000601,r2,r3
1000601,r3,r4
1000601,r4,r5
1000601,r5,r6
1000601,r6,r7
1000601,r7,r8
1000601,r8,re
1000401,j0,j1
1000401,j1,j2
1000401,j2,j3
1000401,j3,j4
1000401,j4,je
1001202,s,g
1001202,g,end
1001400,s,1
1001400,1,21
1001400,1,201
1001400,21,321
1001400,201,231
1001400,321,end1
1001400,201,end2
1001400,s,10
1001400,10,12
1001400,10,210
1001400,12,312
1001400,210,213
1001400,312,end2
1001400,213,end2
1001400,s,100
1001400,100,102
1001400,100,120
1001400,102,132
1001400,120,123
1001400,132,end2
1001400,123,end2
1000201,ms,mc
1000201,mc,mh
1000201,mh,yes
1000201,mh,no
1000701,2_01,2_11
1000701,2_11,2_00
1000701,2_01,2_91
1000701,2_91,2_00
1000701,2_02,2_12
1000701,2_12,2_99
1000701,2_02,2_92
1000701,2_92,2_99
1000701,2_51,2_61
1000701,2_61,2_99
1000701,2_51,2_81
1000701,2_81,2_99
1000701,2_52,2_62
1000701,2_62,2_00
1000701,2_52,2_82
1000701,2_82,2_00
1000701,2_53,2_63
1000701,2_63,2_99
1000701,2_53,2_83
1000701,2_83,2_99
1000801,s,end
1000301,s,g
1000301,g,p
1000301,p,end
1000602,1,1e
1000602,1e,2
1000602,2,2e
1000602,2e,3
1000602,3,3e
1000602,3e,4
1000602,4,end
1000202,1,1e
1000202,1e,2
1000202,2,2e
1000202,2e,3
1000202,3,3e
1000202,3e,4
1000202,4,end
1002000,s,end
1001500,s,hs
1001500,hs,he
1001500,he,ks
1001500,ks,ke
1001500,ke,fe
1001500,fe,ms
1001500,ms,mw
1001500,mw,mg
1001500,mg,me
1001500,me,fb
1001500,fb,end
1001501,s,h1
1001501,h1,h2
1001501,h2,h3
1001501,h3,h4
1001501,h4,h5
1001501,h5,h6
1001501,h6,end
1001502,s,2
1001502,2,3
1001502,3,4
1001502,4,5
1001502,5,s1
1001502,s1,s2
1001502,s2,s3
1001502,s3,s4
1001502,s4,s5
1001502,s5,s6
1001502,s6,end
1001503,s,k1
1001503,k1,k2
1001503,k2,end
1001504,s,f1
1001504,f1,f2
1001504,f2,f3
1001504,f3,f4
1001504,f4,f5
1001504,f5,f6
1001504,f6,end
1000902,30,29
1000902,29,end
1000902,30,28
1000902,28,end
1000902,30,27
1000902,27,end
1000902,30,26
1000902,26,end
1000902,30,25
1000902,25,end
1000902,30,24
1000902,24,end
1000902,30,23
1000902,23,end
1000902,30,22
1000902,22,end
1000902,30,21
1000902,21,end
1000902,30,20
1000902,20,end
1000902,30,19
1000902,19,end
1000902,30,18
1000902,18,end
1000902,30,17
1000902,17,end
1000902,30,16
1000902,16,end
1000902,30,15
1000902,15,end
1000902,30,14
1000902,14,end
1000902,30,13
1000902,13,end
1000902,30,12
1000902,12,end
1000902,30,11
1000902,11,end
1000902,30,10
1000902,10,end
1000902,30,9
1000902,9,end
1000902,30,8
1000902,8,end
1000902,30,7
1000902,7,end
1000902,30,6
1000902,6,end
1000902,30,5
1000902,5,end
1000902,30,4
1000902,4,end
1000902,30,3
1000902,3,end
1000902,30,2
1000902,2,end
1000902,30,1
1000902,1,end
1000902,30,end
1001600,s,end
1001900,s,g
1001900,g,end
7000000,s,fail
7000000,fail,end
7000000,s,end
7000001,s,end
7000002,s,end
7000002,s2,end
